Neighbourhood,Latitude,Longitude
Harbourfront,43.6542599,-79.3606359
Regent Park,43.6542599,-79.3606359
Ryerson,43.6571618,-79.37893709999999
Garden District,43.6571618,-79.37893709999999
St. James Town,43.6514939,-79.3754179
The Beaches,43.67635739999999,-79.2930312
Berczy Park,43.644770799999996,-79.3733064
Central Bay Street,43.6579524,-79.3873826
Christie,43.669542,-79.4225637
Adelaide,43.65057120000001,-79.3845675
King,43.65057120000001,-79.3845675
Richmond,43.65057120000001,-79.3845675
Dovercourt Village,43.66900510000001,-79.4422593
Dufferin,43.66900510000001,-79.4422593
Harbourfront East,43.6408157,-79.38175229999999
Toronto Islands,43.6408157,-79.38175229999999
Union Station,43.6408157,-79.38175229999999
Little Portugal,43.647926700000006,-79.4197497
Trinity,43.647926700000006,-79.4197497
The Danforth West,43.6795571,-79.352188
Riverdale,43.6795571,-79.352188
Design Exchange,43.6471768,-79.38157640000001
Toronto Dominion Centre,43.6471768,-79.38157640000001
Brockton,43.6368472,-79.42819140000002
Exhibition Place,43.6368472,-79.42819140000002
Parkdale Village,43.6368472,-79.42819140000002
The Beaches West,43.6689985,-79.31557159999998
India Bazaar,43.6689985,-79.31557159999998
Commerce Court,43.6481985,-79.37981690000001
Victoria Hotel,43.6481985,-79.37981690000001
Studio District,43.6595255,-79.340923
Lawrence Park,43.7280205,-79.3887901
Roselawn,43.7116948,-79.41693559999999
Davisville North,43.7127511,-79.3901975
Forest Hill North,43.6969476,-79.41130720000001
Forest Hill West,43.6969476,-79.41130720000001
High Park,43.6616083,-79.46476329999999
The Junction South,43.6616083,-79.46476329999999
North Toronto West,43.7153834,-79.40567840000001
The Annex,43.6727097,-79.40567840000001
North Midtown,43.6727097,-79.40567840000001
Yorkville,43.6727097,-79.40567840000001
Parkdale,43.6489597,-79.456325
Roncesvalles,43.6489597,-79.456325
Davisville,43.7043244,-79.3887901
Harbord,43.6626956,-79.4000493
University of Toronto,43.6626956,-79.4000493
Runnymede,43.6515706,-79.4844499
Swansea,43.6515706,-79.4844499
Moore Park,43.6895743,-79.38315990000001
Summerhill East,43.6895743,-79.38315990000001
Chinatown,43.6532057,-79.4000493
Grange Park,43.6532057,-79.4000493
Kensington Market,43.6532057,-79.4000493
Deer Park,43.68641229999999,-79.4000493
Forest Hill SE,43.68641229999999,-79.4000493
Rathnelly,43.68641229999999,-79.4000493
South Hill,43.68641229999999,-79.4000493
Summerhill West,43.68641229999999,-79.4000493
CN Tower,43.6289467,-79.3944199
Bathurst Quay,43.6289467,-79.3944199
Island airport,43.6289467,-79.3944199
Harbourfront West,43.6289467,-79.3944199
King and Spadina,43.6289467,-79.3944199
Railway Lands,43.6289467,-79.3944199
South Niagara,43.6289467,-79.3944199
Rosedale,43.6795626,-79.37752940000001
Stn A PO Boxes 25 The Esplanade,43.6464352,-79.37484599999999
Cabbagetown,43.667967,-79.3676753
St. James Town,43.667967,-79.3676753
First Canadian Place,43.6484292,-79.3822802
Underground city,43.6484292,-79.3822802
Church and Wellesley,43.6658599,-79.38315990000001
Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558
